,stop_id,stop_name,type,served_by,frequency_per_day,latitude,longitude
93,80426,Azusa Downtown Station,tram,801.0,1740,34.135863,-117.906631
94,80427,APU / Citrus College Station,tram,801.0,1740,34.136814,-117.891636
95,80701,Aviation / Century Station,tram,"803.0, 807.0",1547,33.94557205,-118.378683
96,80703,Westchester / Veterans Station,tram,807.0,772,33.96203144,-118.374378
97,80704,Downtown Inglewood Station,tram,807.0,772,33.96715635,-118.3514966
98,80705,Fairview Heights Station,tram,807.0,772,33.97525155,-118.3360716
99,80706,Hyde Park Station,tram,807.0,772,33.98818653,-118.3308158
100,80707,Leimert Park Station,tram,807.0,772,34.00390927,-118.3320162
101,80708,Martin Luther King Jr Station,tram,807.0,772,34.00956339,-118.3353594
102,80709,Expo / Crenshaw K-Line Station,tram,807.0,772,34.02215554,-118.3348508
103,81401,Grand Ave Arts / Bunker Hill Station,tram,"801.0, 804.0",2664,34.05472448,-118.2515307
104,81402,Historic Broadway Station,tram,"801.0, 804.0",2664,34.05215607,-118.2463211
105,81403,Little Tokyo / Arts District Station,tram,"801.0, 804.0",2667,34.04884524,-118.2387567
