id,accommodates,latitude,longitude,kmeans_cluster,sub_cluster
A52111369,1,34.05937,-118.26807,9,9_3
A52112778,2,34.05051,-118.47353,29,29_0
A52114994,4,34.16079,-118.14326,31,31
A52115283,2,33.99696,-118.4176,4,4
A52116217,4,34.10176,-118.11149,22,22
A52217142,2,34.0128,-118.29777,27,27
A52218772,2,34.002697,-118.480507,17,17_1
A52220219,2,34.1587,-118.41097,19,19
A52225681,6,34.07716,-118.20356,6,6
A52226760,2,34.05821,-118.28671,9,9_3
A52227234,6,34.16199,-118.62193,28,28
A52227295,2,34.09761,-118.27678,9,9_1
A52238317,4,34.01591,-118.49241,17,17_0
A52239245,1,34.1177,-118.06088,1,1
A52239510,4,34.14138,-118.34035,7,7
A51966966,2,34.02608,-118.4074,4,4
A51971643,3,33.98713,-118.05486,33,33
A51972214,1,33.91328,-118.32309,25,25_0
A51972905,8,33.991548901510065,-118.37777142654944,4,4
A52123650,2,33.7748664,-118.1934454,2,2
A52126388,2,34.03825,-118.07759,22,22
A52127378,6,34.47124,-118.5363,23,23
A52129269,8,34.07398722063791,-118.49467737055096,29,29_0
A52129890,1,34.09563,-118.35377,21,21_2
A52131325,2,34.05163,-118.25692,9,9_5
A52132191,1,34.05429,-118.2522,9,9_0
A52133206,1,34.04254,-118.09584,22,22
A52239826,4,33.95821,-118.38481,25,25_2
A52240647,5,34.10642,-118.336,21,21_3
A52241308,3,34.11673,-118.20471,12,12
A52241501,3,33.83855,-118.38518,13,13
A52242244,2,34.07472,-118.17989,6,6
A52242768,2,34.05852,-118.25178,9,9_0
A52243211,3,34.11675,-118.20809,12,12
A52244664,3,34.20643353646794,-118.51110353269534,3,3
A52244793,2,34.08326,-118.18839,6,6
A52244945,2,33.88714,-118.23921,18,18
A51983276,2,34.10457,-118.34347,21,21_2
A51986313,6,33.98417,-118.34367,25,25_1
A51987060,5,34.05125,-118.29487,9,9_2
A51988083,6,34.000664,-118.461769,17,17_1
A52134019,4,34.18504,-118.35902,7,7
A52134493,6,33.76095,-118.13936,2,2
A52134898,4,33.77657,-118.15615,2,2
A52283150,3,34.04497,-118.25574,9,9_5
A52283291,4,33.92682,-118.36335,25,25_0
A52283572,4,34.07841,-117.9512,24,24
A52285611,16,34.05889,-118.12024,22,22
A52286760,6,34.11216,-118.0711,1,1
A52287714,2,34.14735,-118.42835,19,19
A52288826,4,34.1215,-118.32379,21,21_3
A52245011,6,34.14242,-118.11417,31,31
A52247236,1,34.08047,-118.34136,21,21_2
A52247821,5,34.0064,-118.16394,6,6
A52249533,4,34.06969,-118.17246,6,6
A52255544,2,34.20519,-118.142,31,31
A52257609,4,34.061848,-118.121689,22,22
A52258631,2,34.16176,-118.29415,12,12
A52262504,2,34.09868,-118.11829,22,22
A52262835,4,33.76712,-118.18358,2,2
A52263859,4,34.069627847722266,-118.3869348912964,0,0_1
A52265291,8,34.08341,-118.30331,21,21_1
A52266349,2,33.95579,-118.38308,25,25_2
A52266746,3,34.18765,-118.62282,28,28
A52267646,4,34.17986,-118.4174,19,19
A52267692,2,34.0472,-118.09797,22,22
A52268207,4,33.98163,-118.46488,17,17_2
A52268304,7,34.18001,-118.41617,19,19
A52268463,1,34.02699937081168,-118.3315721355748,27,27
A52269320,5,33.88779,-118.38796,13,13
A52289128,4,34.17347,-118.58557,28,28
A52292490,2,34.08928,-118.36094,0,0_3
A52296751,4,34.0818899,-118.3700264,0,0_3
A52300623,4,34.15316,-118.25769,12,12
A52302490,6,33.77963,-118.19687,2,2
A52303561,2,34.15961,-118.39253,7,7
A52304636,4,34.14202380193715,-117.99977221726182,1,1
A52304745,2,34.05644,-118.35342,0,0_3
A52304956,2,34.04328686500654,-118.30673880882196,27,27
A51988162,6,34.07876,-118.60154,16,16
A51988388,2,34.11747,-118.21785,12,12
A51989912,4,34.16369,-118.30868,7,7
A51990957,2,33.93337,-118.29364,18,18
A51991077,2,34.07911,-118.29608,9,9_2
A51996566,1,33.96076,-118.3839,25,25_2
A52305184,8,34.03234,-118.74442,30,30
A52306368,2,33.87051,-118.17388,34,34
A52307473,2,33.93789,-118.33199,25,25_3
A52307743,6,34.14819,-118.25666,12,12
A52309073,6,33.98624204410788,-118.46851665668795,17,17_1
A52310364,4,33.76517,-118.18891,2,2
A52310939,2,33.99275,-118.30146,27,27
A52311384,4,34.01243,-118.49203,17,17_0
A52320029,2,33.92543393628665,-118.25853384246876,18,18
A52320497,3,34.06782630234219,-118.2191006003722,6,6
A52323568,10,34.06398010253906,-118.04591369628906,1,1
A52269831,2,33.98691,-118.34756,27,27
A52374609,10,34.11268,-118.3758,0,0_0
A52376106,2,33.93258,-118.29544,18,18
A52377286,2,34.04796,-118.24805,9,9_0
A52382284,4,34.109586542718496,-118.2348633492295,12,12
A52382873,10,34.08035,-118.37488,0,0_3
A52383129,2,33.7754,-118.17123,2,2
A52384557,2,33.98964,-118.46813,17,17_1
A52384640,9,34.13779357175285,-117.82816830133588,24,24
A52385191,2,33.97826,-118.35688,25,25_1
A52385847,10,33.97926,-118.46521,17,17_2
A51998104,2,34.16112,-118.37683,7,7
A51999266,2,34.15628,-118.3934,19,19
A52388463,4,34.62351,-117.91494,26,26
A52389016,10,34.09289,-118.38875,0,0_0
A52389318,2,34.05,-118.02197,1,1
A52389728,3,34.06569,-118.4497,29,29_1
A52394429,2,33.77487,-118.19345,2,2
A52405705,5,34.1494,-118.59171,28,28
A52407217,5,34.13923263549805,-118.23873138427734,12,12
A52410027,8,34.16743,-118.57813,28,28
A52325032,14,34.16746,-118.4429,19,19
A52325427,5,34.1706642538964,-118.43898273380556,19,19
A52326017,6,34.03596,-118.21706,6,6
A52332922,2,34.13187,-118.05434,1,1
A52333511,2,33.76452,-118.17297,2,2
A52335350,5,33.78389,-118.30518,20,20
A52336047,11,34.11622,-118.77573,8,8
A52336052,5,33.95709,-118.43526,4,4
A52336712,2,34.04643,-118.17844,6,6
A52001421,4,34.155914009752166,-118.35016788628762,7,7
A52002434,1,34.05152,-118.44484,29,29_1
A52002442,16,34.07495,-117.77425,11,11
A52004416,6,34.01683,-118.47988,17,17_0
A52005766,10,33.95097,-118.32199,25,25_3
A52410644,1,34.44555,-118.47739,14,14
A52411059,2,34.11132,-118.20018,12,12
A52419285,4,33.85686492919922,-118.39784240722656,13,13
A52420155,3,34.13466,-117.7085,11,11
A52421661,10,34.15952,-118.08012,31,31
A52421675,4,34.07833,-117.95083,24,24
A52421728,2,34.05927,-118.28902,9,9_3
A52421898,2,34.11326,-117.73495,11,11
A52423993,4,34.04643,-118.34604,27,27
A52425428,2,33.82731,-118.3837,13,13
A52006446,10,34.13525899406739,-118.37901774539736,7,7
A52336892,8,34.23653,-118.48806,3,3
A52337360,3,34.01935933837646,-118.39827189032346,4,4
A52338067,3,34.04756,-118.2496,9,9_0
A52338356,1,33.92065,-118.21407,18,18
A52340376,12,34.15168,-118.43614,19,19
A52345469,8,34.04305,-118.25686,9,9_5
A52346380,2,34.15081,-118.36029,7,7
A52009902,16,34.04159,-118.34429,27,27
A52010757,3,34.10588,-118.285,9,9_1
A52011268,2,34.00532,-118.42832,4,4
A52011688,1,34.00759,-118.42685,4,4
A52011994,16,34.04159,-118.34429,27,27
A52493304,14,34.16677,-118.44223,19,19
A52494624,3,34.16844,-118.28713,12,12
A52427330,2,34.09591,-118.35598,21,21_2
A52427864,2,34.01582,-118.31372,27,27
A52429395,2,34.06087,-118.01538,1,1
A52429683,6,33.99128,-118.42037,4,4
A52429751,2,34.17699,-118.13945,31,31
A52429936,2,33.98947,-118.45715,17,17_2
A52430968,2,34.04456,-117.94624,24,24
A52438439,1,34.067314,-118.007027,1,1
A52438575,8,34.03945668123772,-118.6450231758934,16,16
A52346524,6,34.04112815819778,-118.25658700436544,9,9_5
A52346795,6,34.04457,-118.25444,9,9_5
A52346925,4,34.0411085365061,-118.25680168323932,9,9_5
A52347063,4,34.17107,-118.59889,28,28
A52347075,4,34.04263,-118.25825,9,9_5
A52349750,2,33.86286,-118.30016,18,18
A52351241,1,34.15992,-118.35875,7,7
A52351728,6,33.790295,-118.14576,2,2
A52494845,10,34.1974,-118.48243,3,3
A52495834,10,34.09364,-118.39054,0,0_0
A52495891,2,33.97894,-118.28116,27,27
A52498626,2,34.27762,-118.60049,28,28
A52499652,2,34.1891,-118.43376,19,19
A52352144,6,34.02689,-118.82938,30,30
A52352741,6,33.89394,-118.14811,34,34
A52354617,8,33.88892,-118.27283,18,18
A52354904,6,34.45143,-118.53399,23,23
A52355764,12,34.16902,-118.42494,19,19
A52356995,4,34.16613,-118.37214,7,7
A52358657,2,34.1611147,-118.3768283,7,7
A52360746,2,33.77487,-118.19345,2,2
A52439945,2,34.096195,-117.719086,11,11
A52440261,2,34.07979,-118.29623,9,9_2
A52441214,10,34.11728,-118.32545,21,21_3
A52441428,6,33.87542,-118.40326,13,13
A52441963,3,34.153494286784394,-118.39751775516947,19,19
A52442752,4,34.03942,-118.25789,9,9_5
A52443006,8,34.20019,-118.49866,3,3
A52443075,6,34.12108,-117.89938,24,24
A52443929,4,34.092570305245495,-118.35752704353368,21,21_2
A52443970,4,34.09095503394196,-118.35879059551864,21,21_2
A52445730,1,34.07757,-118.26328,9,9_4
A52503976,2,34.1494407,-118.4670982,19,19
A52362988,16,33.79496,-118.33764,20,20
A52365384,2,34.15349,-117.99653,1,1
A52365875,5,33.83312,-118.34197,20,20
A52370746,1,34.17114,-118.27729,12,12
A52372538,2,34.72117,-118.02237,32,32
A52373888,5,33.96219,-118.31341,25,25_3
A52374457,8,33.9378,-118.33178,25,25_3
A52604740,6,34.06303,-118.14507,22,22
A52607747,2,34.15912,-118.44017,19,19
A52507323,4,34.04465,-118.25175,9,9_5
A52510418,4,33.83687,-118.38476,13,13
A52453371,6,34.1113833943632,-118.33095666059432,21,21_3
A52453581,5,33.99887,-118.46828,17,17_1
A52456821,6,33.95701,-118.38605,25,25_2
A52457349,10,34.07202,-118.37196,0,0_3
A52457472,2,33.98069381713867,-118.46610260009766,17,17_2
A52458281,2,34.1376,-117.99736,1,1
A52459506,2,34.12471,-118.07789,1,1
A52459885,2,34.14563,-118.23937,12,12
A52461105,6,33.989990234375,-118.46550750732422,17,17_1
A52467037,5,33.79318,-118.16264,2,2
A52511006,8,34.08145,-118.35671,0,0_3
A52512685,4,34.0404,-118.25735,9,9_5
A52612759,2,34.71936,-118.28352,32,32
A52612793,3,34.12351,-118.32124,21,21_3
A52613927,5,34.17693,-118.56331,28,28
A52615959,8,34.17426,-118.3971,19,19
A52616700,2,34.10087,-118.34622,21,21_2
A52617479,10,33.97344,-118.46153,17,17_2
A52617778,1,33.99745,-117.79463,11,11
A52618325,2,34.10269,-118.34717,21,21_2
A52621478,2,33.891541076696065,-118.41521690906676,13,13
A52471212,3,34.19508,-118.6406,28,28
A52472156,12,34.16879,-118.42304,19,19
A52472286,10,34.11316,-118.37543,0,0_0
A52475174,4,34.08754,-118.02426,1,1
A52478348,2,33.98802,-118.28436,27,27
A52486223,2,34.10498,-118.37286,0,0_0
A52486291,10,34.08448,-118.35378,21,21_2
A52487111,4,34.08827,-118.42587,29,29_1
A52489329,6,34.12106,-118.39935,0,0_0
A52515950,7,33.93673,-118.33569,25,25_3
A52523121,2,34.14944,-118.4671,19,19
A52527367,4,34.01415,-118.42203,4,4
A52528154,6,34.02091,-118.47445,17,17_0
A52529093,2,34.1727,-118.60953,28,28
A52530486,4,34.1009,-118.34966,21,21_2
A52702353,8,33.9297,-118.13656,34,34
A52702496,5,34.06333,-118.2444,9,9_0
A52707262,4,34.138673333952845,-118.23710327429234,12,12
A52707773,2,34.20135,-118.18224,31,31
A52708260,2,33.84463,-118.08175,34,34
A52708935,6,33.89772,-118.38426,13,13
A52715030,2,34.09991,-118.3249,21,21_3
A52718548,2,33.92611,-118.36048,25,25_0
A52720550,2,34.08225,-117.83195,24,24
A52720882,2,34.09082,-118.26247,9,9_4
A52621575,8,33.99764,-118.47018,17,17_1
A52621612,2,34.04946,-118.2789,9,9_3
A52630730,2,34.18966,-118.43402,19,19
A52631738,6,34.15979,-118.36024,7,7
A52636073,4,34.19086,-118.5441,3,3
A52636706,4,33.98896,-118.45149,17,17_2
A52639360,6,33.99618,-118.47682,17,17_1
A52640029,7,34.02121,-118.14606,6,6
A52531473,2,34.00743,-118.43907,4,4
A52532112,6,34.08546,-118.24877,9,9_4
A52720883,1,34.16687,-118.69607,8,8
A52721443,2,34.13289,-117.90431,24,24
A52721994,4,34.03013,-118.36052,27,27
A52724454,2,33.8713,-118.39263,13,13
A52727604,4,34.10684,-118.32389,21,21_3
A52731260,12,33.98087,-117.98671,33,33
A52731335,4,34.10195,-118.34701,21,21_2
A52732080,2,34.03512,-118.34169,27,27
A52732208,2,34.11833,-118.59524,16,16
A52641685,5,34.14603,-118.12989,31,31
A52642035,2,34.02065,-118.49874,17,17_0
A52642352,4,33.97406,-118.33244,25,25_1
A52646064,2,34.1034,-118.2761,9,9_1
A52647476,6,33.75296,-118.2894,20,20
A52648215,2,34.0758013,-118.3894691,0,0_1
A52648822,2,33.99383,-118.04032,33,33
A52649286,3,34.00983,-118.40879,4,4
A52650215,16,34.22904,-118.60285,28,28
A52535132,2,33.77843,-118.14178,2,2
A52535456,6,34.121754,-117.999367,1,1
A52536102,2,34.07365,-117.9353,24,24
A52536244,8,33.9859504699707,-118.46473693847656,17,17_2
A52650991,10,34.1121,-118.39824,0,0_0
A52651004,8,34.07462,-118.30492,9,9_2
A52651452,4,33.97779,-117.89825,15,15
A52652707,8,34.20566,-118.31897,7,7
A52654463,4,34.08263,-118.355,0,0_3
A52654685,4,33.821,-118.32716,20,20
A52654690,12,33.821,-118.32716,20,20
A52654919,2,34.10117,-118.34783,21,21_2
A52656755,2,34.04494,-118.30249,27,27
A52657683,2,34.05465,-118.26583,9,9_5
A52736037,6,34.17527,-118.51433,3,3
A52736067,2,34.05152929706658,-118.2630413790417,9,9_5
A52736870,4,34.14299,-118.26748,12,12
A52737060,2,33.98143,-118.45972,17,17_2
A52737800,4,34.00115,-118.46301,17,17_1
A52737944,4,34.10476,-118.32233,21,21_3
A52738389,8,34.17174,-118.44031,19,19
A52740904,3,34.09623,-118.33347,21,21_3
A52740988,4,34.19918,-118.2916,7,7
A52537208,2,34.07308,-118.1303,22,22
A52537462,8,34.16779,-118.41811,19,19
A52537481,6,34.00943279154985,-118.23459250282664,6,6
A52538879,10,33.95215,-118.21907,18,18
A52539592,11,33.86001,-118.39682,13,13
A52657813,2,34.14569,-118.36379,7,7
A52658016,5,34.06043,-118.1415,22,22
A52661631,2,34.67043,-118.2107,32,32
A52661998,5,34.00081,-118.35219,27,27
A52662025,4,34.05672,-118.26573,9,9_5
A52662332,2,34.05549,-118.01647,1,1
A52665932,3,33.76695,-118.15533,2,2
A52666244,2,34.15098190307617,-118.78955078125,8,8
A52667669,4,33.98242,-118.03115,33,33
A52741860,2,33.86579,-118.12556,34,34
A52742191,1,33.985561,-117.893295,15,15
A52742665,6,34.01522,-118.49045,17,17_0
A52743076,4,34.26357,-118.61113,28,28
A52743264,2,34.06135,-118.11757,22,22
A52743282,3,34.07578,-118.14299,22,22
A52743517,3,34.00611,-118.47149,17,17_1
A52751767,1,33.72671,-118.30641,20,20
A52752735,6,34.15821,-118.24351,12,12
A52754188,1,33.985561,-117.893295,15,15
A52754363,10,34.09692,-118.37189,0,0_0
A52547356,6,33.83411,-118.18646,2,2
A52554329,10,34.04158,-118.34415,27,27
A52555238,8,34.56326,-118.14498,5,5
A52556797,2,34.09025,-118.32935,21,21_3
A52755185,7,34.01464,-118.0664,33,33
A52755460,2,34.048596179643305,-118.27900003498186,9,9_3
A52756393,10,34.0859696970485,-118.35211963989634,21,21_2
A52756912,6,33.98149,-118.46021,17,17_2
A52757364,2,33.76503,-118.14413,2,2
A52757839,6,34.18988,-118.58743,28,28
A52758026,3,34.22614,-118.36431,7,7
A52758079,6,34.00768,-118.23346,6,6
A52670391,4,34.17317,-118.51594,3,3
A52671816,6,34.00491,-118.22941,6,6
A52672068,4,33.74721,-118.12163,2,2
A52672185,4,34.1858,-118.43564,19,19
A52672470,4,34.02799,-118.49685,17,17_0
A52678035,13,34.06577,-118.11177,22,22
A52678392,2,33.98288,-118.39144,4,4
A52679460,8,33.94786,-118.27463,18,18
A52684711,8,33.89649,-118.40909,13,13
A52557067,4,34.08633,-118.31311,21,21_1
A52557783,3,33.862583,-118.40139,13,13
A52557907,2,34.15531,-118.34625,7,7
A52558783,6,34.05544,-118.36276,0,0_2
A52758119,6,34.00197,-118.15669,6,6
A52761216,6,34.67054,-118.06954,32,32
A52761295,4,34.13259,-118.26093,12,12
A52761318,2,34.10375,-118.35042,21,21_2
A52761605,5,34.18576,-118.22758,12,12
A52763006,2,34.0238,-118.12498,22,22
A52770615,2,34.10053,-118.34637,21,21_2
A52770997,3,34.22101,-118.2421,12,12
A52774830,10,34.18101,-118.40519,19,19
A52558861,10,34.04158,-118.34415,27,27
A52567245,4,33.90657,-118.24796,18,18
A52570194,2,34.0639,-117.99474,1,1
A52686019,4,34.08762,-118.42185,29,29_1
A52686769,2,34.00996,-118.2911,27,27
A52686786,2,34.00813,-118.28955,27,27
A52687666,6,34.00801,-118.29052,27,27
A52688683,14,33.97749,-117.92101,15,15
A52689262,2,34.16504,-118.44521,19,19
A52691522,3,34.10534,-117.73636,11,11
A52691657,2,33.759148,-118.140587,2,2
A52694437,6,34.09555,-118.13905,22,22
A52694810,1,34.05157,-118.43553,29,29_1
A52775125,4,33.76633,-118.15315,2,2
A52776785,1,33.985561,-117.893295,15,15
A52777186,2,34.23622,-118.45715,3,3
A52777566,1,33.985561,-117.893295,15,15
A52777922,4,34.13901,-118.2096,12,12
A52779517,3,34.056777272888304,-118.26431325671084,9,9_5
A52781478,2,34.09923,-118.32231,21,21_3
A52781973,2,34.04635,-118.33642,27,27
A52795477,16,33.98047,-117.91494,15,15
A52797925,6,33.77624,-118.17091,2,2
A52570638,9,33.98718,-118.45133,17,17_2
A52570680,2,34.19238,-118.64978,28,28
A52701386,4,34.04794,-118.24904,9,9_0
A52799659,6,33.87755,-118.34902,13,13
A52807250,6,34.14121,-118.37585,7,7
A52812421,2,34.20042,-118.49422,3,3
A52812819,3,34.08518,-118.26161,9,9_4
A52813742,2,33.89961388070719,-118.15207810755392,34,34
A52813917,3,34.06682,-118.28257,9,9_3
A52820519,6,33.930636858318806,-118.13142817168706,34,34
A52821256,4,34.19282,-118.37614,7,7
A52822641,8,34.08015,-118.37065,0,0_3
A52823401,6,34.09677,-117.99928,1,1
A52572148,3,34.10499,-117.72476,11,11
A52573363,4,34.06294,-118.26743,9,9_3
A52573393,16,34.058311,-118.120995,22,22
A52925087,6,34.15035,-118.36173,7,7
A52926950,1,34.21109,-118.38423,7,7
A52936450,1,34.18683,-118.41706,19,19
A52936720,4,33.91958,-118.35312,25,25_0
A52938378,4,34.1111,-118.43777,29,29_1
A52939990,2,34.11288,-118.58258,16,16
A52945964,4,34.04201709102708,-118.38718233884542,0,0_2
A52947926,4,34.03424,-118.19939,6,6
A52952276,6,33.77552,-118.16248,2,2
A52573739,4,34.05157,-118.38225,0,0_2
A52573985,4,34.21978,-118.58482,28,28
A52823967,3,34.12979507446289,-118.21923828125,12,12
A52826848,2,34.09702,-118.13592,22,22
A52827239,6,34.1962,-118.32391,7,7
A52828467,2,33.97099,-118.36666,25,25_1
A52829058,2,34.083977,-118.289009,9,9_1
A52830451,2,34.2026,-118.50541,3,3
A52830913,3,34.1762,-118.14864,31,31
A52839335,2,34.03726,-118.36425,0,0_2
A52840198,2,34.15921,-118.4369,19,19
A52840513,2,33.81687,-118.31291,20,20
A52580090,6,33.96121857642314,-118.45098520476648,17,17_2
A52582806,6,34.13119,-118.37899,7,7
A52583126,2,34.04912,-118.46136,29,29_0
A52583680,2,34.05573,-118.30218,9,9_2
A52841131,3,33.86258,-118.40139,13,13
A52841615,2,33.92353,-118.37215,25,25_0
A52841891,4,34.09295,-118.13409,22,22
A52841895,4,34.09321,-118.13465,22,22
A52846655,2,33.94439,-118.03978,33,33
A52846947,1,33.89043,-118.32306,25,25_0
A52853265,1,34.09051,-118.36962,0,0_0
A52853672,4,34.17149,-118.5071,3,3
A52856577,8,34.10264,-118.37983,0,0_0
A52953358,4,33.90141,-118.41841,13,13
A52955908,2,33.97541,-118.324898,25,25_3
A52956022,4,34.18865,-118.55902,3,3
A52956678,4,34.04574,-118.08988,22,22
A52964170,2,34.14649,-118.3431,7,7
A52964469,4,33.97624744834855,-118.34950816160296,25,25_1
A52967175,2,34.06193,-118.24453,9,9_0
A52967312,1,34.270729,-118.573532,3,3
A52968503,3,34.09386,-118.13534,22,22
A52969506,3,33.99869,-118.48312,17,17_1
A52586801,2,34.19561,-118.51739,3,3
A52591893,2,33.82897081466144,-118.27822506695122,20,20
A52596241,8,34.04035,-117.92506,15,15
A52596496,4,34.45053,-118.49871,23,23
A52857326,4,34.10912,-118.38738,0,0_0
A52857426,6,33.76566,-118.15774,2,2
A52858233,6,33.83201,-118.18062,2,2
A52862348,1,34.05179,-118.24474,9,9_0
A52862853,10,34.19014,-118.58716,28,28
A52866198,2,33.93483352661133,-118.31000518798828,25,25_3
A52866432,12,34.69704,-118.14489,32,32
A52867099,2,34.06074,-118.24633,9,9_0
A52876252,8,34.15399,-118.50051,3,3
A52970649,3,34.10057,-118.34801,21,21_2
A52971178,2,34.41283,-118.44451,14,14
A52971519,2,33.78677,-118.1607,2,2
A52972471,6,33.82624,-118.06961,34,34
A52976572,2,34.05224,-118.26198,9,9_5
A52983318,1,34.04128,-118.33234,27,27
A52984507,4,33.95683,-118.38359,25,25_2
A52984913,3,34.17624176506115,-118.61821770615067,28,28
A52985485,4,34.09058,-118.18205,6,6
A52596773,10,33.89412,-118.23146,18,18
A52597183,2,33.89974,-118.24212,18,18
A52597407,1,34.008308,-118.39061,4,4
A52597486,12,34.44734,-118.46791,14,14
A52876467,4,34.11281896857408,-118.19678235290446,12,12
A52878829,2,34.05109,-118.32914,27,27
A52880100,4,34.150230407714844,-118.25170135498048,12,12
A52880297,6,34.1859,-118.6454,28,28
A52880804,5,34.1594,-118.1398,31,31
A52882782,8,34.001978028905455,-118.35565741397164,27,27
A52883452,8,33.99101,-118.34481,27,27
A52883808,6,34.06242,-118.44231,29,29_1
A52885721,2,33.99108,-118.45786,17,17_2
A52888348,3,33.76405,-118.19236,2,2
A52985709,6,34.16706,-118.66899,28,28
A52989523,2,34.017902,-118.416199,4,4
A52989784,4,34.05968,-118.44959,29,29_1
A52989976,4,33.78931,-118.15808,2,2
A52991607,2,33.92558,-118.35145,25,25_0
A52992036,4,34.10802,-118.18794,12,12
A52992109,2,34.026282077334436,-118.31673928829096,27,27
A52994536,2,34.08727,-118.31441,21,21_1
A52994975,2,34.09865,-118.42854,29,29_1
A52995274,3,34.08604,-118.31099,21,21_1
A52597497,10,34.21322,-118.61632,28,28
A52598395,8,34.07471,-118.24989,9,9_4
A52601021,6,34.16183,-118.61469,28,28
A52601821,3,34.02281402397507,-118.41232504044466,4,4
A52995546,7,34.09473,-118.13533,22,22
A53002388,2,34.05224,-118.26198,9,9_5
A53002473,2,34.05224,-118.26198,9,9_5
A53005484,5,33.99416,-118.45896,17,17_1
A53005870,2,34.07254,-118.38993,0,0_1
A53006124,1,34.02601,-118.25969,9,9_5
A53007429,8,33.881494051725646,-118.4070838191029,13,13
A52601958,2,34.03903389256566,-118.13923834617972,22,22
A52602013,4,34.17182,-118.55318,3,3
A52602613,4,34.00702,-117.88003,15,15
A52603434,4,34.06186,-118.37403,0,0_3
A53048946,4,34.02603,-118.38475,4,4
A53009311,2,33.99874,-118.4441,17,17_2
A53011710,4,34.02693,-118.33617,27,27
A53019690,2,34.05224,-118.26198,9,9_5
A53020221,2,34.05224,-118.26198,9,9_5
A53021145,4,33.74538,-118.1199,2,2
A53024810,8,34.20518,-118.61964,28,28
A53025487,2,34.08020646419741,-118.38050893812488,0,0_0
A52895178,6,34.09539,-118.13844,22,22
A52897131,5,34.10371,-117.765549,11,11
A52897558,8,34.1459,-118.38823,7,7
A52900109,6,34.03088,-118.14951,6,6
A52901200,4,34.0708732,-118.5606739,16,16
A52903251,7,34.21967,-118.24015,12,12
A52903272,2,34.05252,-118.32955,27,27
A52903516,1,34.02025,-118.303,27,27
A52904185,16,34.04793,-118.10559,22,22
A52906976,5,33.76837,-118.17149,2,2
A53049025,2,34.073803,-118.137749,22,22
A53049516,2,34.02555,-118.38463,4,4
A53051652,2,33.86938,-118.36444,13,13
A53051730,4,34.151146,-117.997681,1,1
A53051992,6,33.99982,-118.07534,33,33
A53060171,2,34.05224,-118.26198,9,9_5
A53060191,2,34.05224,-118.26198,9,9_5
A52907532,6,34.17303,-118.60495,28,28
A52908665,2,34.02178,-118.49934,17,17_0
A52913687,6,33.930164348126,-118.31990742005758,25,25_3
A52918528,8,34.08609,-118.13218,22,22
A52921225,3,34.0481,-118.25666,9,9_5
A52922914,6,33.77652,-118.35667,20,20
A52923784,4,34.04886,-118.23417,9,9_0
A52923849,4,34.03285,-118.48396,17,17_0
A52923905,1,34.26278,-118.47162,3,3
A53026904,12,34.65199,-118.21004,32,32
A53026970,16,34.49406,-118.33375,14,14
A53027639,2,34.11694,-118.5783,16,16
A53029424,3,33.939502465346585,-118.31480951302451,25,25_3
A53031405,4,34.11471,-118.58126,16,16
A53032738,1,33.95028,-118.01572,33,33
A53036065,5,34.18341,-118.1683,31,31
A53042565,6,34.10844,-118.44589,29,29_1
A53042691,2,34.04627,-118.36393,0,0_2
A53043461,10,33.96383,-118.43461,4,4
A53046638,4,34.1660041809082,-118.3641128540039,7,7
A53063542,2,33.95556,-118.38377,25,25_2
A53063787,3,33.99028,-118.4307,4,4
A53064422,1,34.18687,-118.30462,7,7
A53140056,2,34.05224,-118.26198,9,9_5
A53146752,3,33.98987,-117.93697,15,15
A53150356,6,34.13991,-118.02849,1,1
A53151099,4,34.09812803946554,-118.32727185013948,21,21_3
A53152553,2,34.05306,-118.32907,27,27
A53154444,5,33.93863,-118.19066,34,34
A53156296,10,34.06891,-118.11763,22,22
A53156359,4,34.0358,-118.35066,27,27
A53156382,8,34.07113,-118.11903,22,22
A53158934,3,34.0841,-118.12747,22,22
A53047061,2,34.08384,-118.27232,9,9_1
A53047412,2,33.992249,-118.441948,4,4
A53048482,10,34.07661437988281,-118.37137603759766,0,0_3
A53244460,4,34.08896764950391,-118.29215014915204,9,9_1
A53245203,4,33.98054,-118.45973,17,17_2
A53254833,2,34.08166,-118.37916,0,0_0
A53256228,4,34.08864,-118.35797,21,21_2
A53258864,2,34.17275,-118.38113,7,7
A53065045,2,33.86317,-118.39815,13,13
A53066531,2,34.03089,-118.39655,4,4
A53066948,8,34.04676,-118.10225,22,22
A53069211,6,34.14391201780085,-118.23336510711412,12,12
A53069707,7,34.19135,-118.48483,3,3
A53072848,1,34.043567090248466,-118.4683826765862,29,29_0
A53077018,1,34.02912,-117.76688,11,11
A53078533,2,34.07262,-118.20827,6,6
A53259356,2,33.99336,-118.43363,4,4
A53262440,2,34.03507,-118.37198,0,0_2
A53262843,1,34.18252,-118.35363,7,7
A53264054,2,34.05526,-118.26405,9,9_5
A53273855,2,34.06649261570413,-118.373113270994,0,0_3
A53274584,2,34.03619,-118.50262,17,17_0
A53275482,1,34.71271,-118.09781,32,32
A53276505,4,34.05171,-118.26559,9,9_5
A53276858,2,34.03612,-118.2309,6,6
A53276905,2,34.065548,-118.39518,0,0_1
A53165635,6,34.03011,-118.37013,0,0_2
A53167852,2,34.05235,-118.32933,27,27
A53169676,1,34.0471,-118.27162,9,9_3
A53170795,1,33.99721,-117.7909,11,11
A53171168,3,33.98879,-118.45189,17,17_2
A53171173,6,33.97274,-118.36575,25,25_1
